year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,840,PR,1,1,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2015-16,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,231.429,TE,0.385715,0.4,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,231.429,TE,0.385715,0.4,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,231.429,TE,0.385715,0.4,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,TE,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,231.429,TE,0.385715,0.4,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,111.429,PR,0.185715,0.2,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,111.429,PR,0.185715,0.2,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,111.429,PR,0.185715,0.2,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,111.429,PR,0.185715,0.2,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,840,TE,1,1,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2016-17,ACEIT Welder Foundation,ACWELDF,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,15,TE,0.025,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,20,PR,0.033333333,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1.5,PR,0.0025,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,13,PR,0.021666667,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,20,PR,0.033333333,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,9,PR,0.015,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
