year,programTitle,Program Code,PLU,Sum Credits,location,sumFTE,abo,imm
2012-13,Applied Business Technology,ABT,Credits,13,SM,0.541666667,N,01
2012-13,Applied Business Technology,ABT,Credits,148.5,SM,6.1875,,00
2012-13,Applied Business Technology,ABT,Credits,219,SM,9.125,Y,00
2012-13,Applied Business Technology,ABT,Credits,314.5,SM,13.10416667,N,00
2013-14,Applied Business Technology,ABT,Credits,287,SM,11.95833333,N,00
2013-14,Applied Business Technology,ABT,Credits,205,SM,8.541666667,Y,00
2013-14,Applied Business Technology,ABT,Credits,185,SM,7.708333333,,00
2013-14,Applied Business Technology,ABT,Credits,1.5,SM,0.0625,N,01
2013-14,Applied Business Technology,ABT,Credits,3.5,SM,0.145833333,,01
2013-14,Applied Business Technology,ABT,Credits,0,SM,0,N,00
2013-14,Applied Business Technology,ABT,Credits,40,TE,0.066666667,N,00
2014-15,Applied Business Technology,ABT,Credits,8,KN,0.013333333,Y,00
2014-15,Applied Business Technology,ABT,Credits,42.429,SM,0.055246094,,00
2014-15,Applied Business Technology,ABT,Credits,0,SM,0,Y,00
2014-15,Applied Business Technology,ABT,Credits,9.5,SM,0.395833333,N,02
2014-15,Applied Business Technology,ABT,Credits,7.5,SM,0.3125,N,01
2014-15,Applied Business Technology,ABT,Credits,77,SM,3.208333333,,00
2014-15,Applied Business Technology,ABT,Credits,210.5,SM,8.770833333,Y,00
2014-15,Applied Business Technology,ABT,Credits,213.5,SM,8.895833333,N,00
2014-15,Applied Business Technology,ABT,Credits,3,PR,0.125,N,00
2015-16,Applied Business Technology,ABT,SCH,20,SM,0.033333333,Y,00
2015-16,Applied Business Technology,ABT,SCH,0,HO,0,N,00
2015-16,Applied Business Technology,ABT,Credits,3,SM,0.125,N,01
2015-16,Applied Business Technology,ABT,Credits,7,SM,0.291666667,,00
2015-16,Applied Business Technology,ABT,Credits,25.5,SM,1.0625,Y,00
2015-16,Applied Business Technology,ABT,Credits,45.5,SM,1.895833333,N,00
2015-16,Applied Business Technology,ABT,SCH,6.5,TE,0.444444444,N,01
2015-16,Applied Business Technology,ABT,SCH,26,TE,1.788888889,,00
