"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"98","2010-11","ACEIT Welding","ACWELD","SCH",5721.43,"PR",6.81122619,"N","00","trades",NA
"99","2010-11","ACEIT Welding","ACWELD","SCH",2738.572,"TE",3.260204762,"N","00","trades",NA
"100","2010-11","ACEIT Welding","ACWELD","SCH",1084.286,"TE",1.290816667,"Y","00","trades","fn"
"101","2010-11","ACEIT Welding","ACWELD","SCH",63.5,"PR",0.105833333,"N","00","trades",NA
"102","2010-11","ACEIT Welding","ACWELD","SCH",19.5,"TE",0.0325,"N","00","trades",NA
"103","2011-12","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"104","2011-12","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
"105","2011-12","ACEIT Welding","ACWELD","SCH",4337.144,"PR",5.163266667,"N","00","trades",NA
"106","2011-12","ACEIT Welding","ACWELD","SCH",3252.858,"TE",3.87245,"N","00","trades",NA
"107","2011-12","ACEIT Welding","ACWELD","SCH",18,"PR",0.03,"N","00","trades",NA
"108","2011-12","ACEIT Welding","ACWELD","SCH",31,"TE",0.051666667,"N","00","trades",NA
"109","2012-13","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"110","2012-13","ACEIT Welding","ACWELD","SCH",0,"PR",0,"Y","00","trades","fn"
"111","2012-13","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
"112","2012-13","ACEIT Welding","ACWELD","SCH",0,"TE",0,"Y","00","trades","fn"
"113","2012-13","ACEIT Welding","ACWELD","SCH",0,"TE",0,NA,"00","trades",NA
"114","2012-13","ACEIT Welding","ACWELD","SCH",3265.716,"PR",3.887757143,"N","00","trades",NA
"115","2012-13","ACEIT Welding","ACWELD","SCH",1032.858,"PR",1.229592857,"Y","00","trades","fn"
"116","2012-13","ACEIT Welding","ACWELD","SCH",3265.716,"TE",3.887757143,"N","00","trades",NA
